Date,S&P 500,Gold,USD Index Spot Rate
1970-12-31 00:00:00,92.15,37.44,120.643
1971-01-04 00:00:00,91.15,,120.53
1971-01-05 00:00:00,91.8,,120.52
1971-01-06 00:00:00,92.35,,120.49
1971-01-07 00:00:00,92.38,,120.55
1971-01-08 00:00:00,92.19,,120.53
1971-01-11 00:00:00,91.98,,120.53
1971-01-12 00:00:00,92.72,,120.49
1971-01-13 00:00:00,92.56,,120.47
1971-01-14 00:00:00,92.8,,120.44
1971-01-15 00:00:00,93.03,,120.44
1971-01-18 00:00:00,93.41,,120.41
1971-01-19 00:00:00,93.76,,120.37
1971-01-20 00:00:00,93.78,,120.34
1971-01-21 00:00:00,94.19,,120.33
1971-01-22 00:00:00,94.88,,120.31
1971-01-25 00:00:00,95.28,,120.27
1971-01-26 00:00:00,95.59,,120.26
1971-01-27 00:00:00,94.89,,120.25
1971-01-28 00:00:00,95.21,,120.25
1971-01-29 00:00:00,95.88,37.87,120.24
1971-02-01 00:00:00,96.42,,120.26
1971-02-02 00:00:00,96.43,,120.28
1971-02-03 00:00:00,96.63,,120.24
1971-02-04 00:00:00,96.62,,120.24
1971-02-05 00:00:00,96.93,,120.26
1971-02-08 00:00:00,97.45,,120.26
1971-02-09 00:00:00,97.51,,120.25
1971-02-10 00:00:00,97.39,,120.28
1971-02-11 00:00:00,97.91,,120.29
1971-02-12 00:00:00,98.43,,
1971-02-16 00:00:00,98.66,,120.22
1971-02-17 00:00:00,98.2,,120.21
1971-02-18 00:00:00,97.56,,120.21
1971-02-19 00:00:00,96.74,,120.18
1971-02-22 00:00:00,95.72,,120.14
1971-02-23 00:00:00,96.09,,120.12
1971-02-24 00:00:00,96.73,,120.18
1971-02-25 00:00:00,96.92,,120.2
1971-02-26 00:00:00,96.75,38.74,120.26
1971-03-01 00:00:00,97,,120.25
1971-03-02 00:00:00,96.98,,120.21
1971-03-03 00:00:00,96.95,,120.19
1971-03-04 00:00:00,97.92,,120.2
1971-03-05 00:00:00,98.96,,120.17
1971-03-08 00:00:00,99.38,,120.13
1971-03-09 00:00:00,99.46,,120.14
1971-03-10 00:00:00,99.3,,120.14
1971-03-11 00:00:00,99.39,,120.16
1971-03-12 00:00:00,99.57,,120.18
1971-03-15 00:00:00,100.71,,120.19
1971-03-16 00:00:00,101.21,,120.19
1971-03-17 00:00:00,101.12,,120.16
1971-03-18 00:00:00,101.19,,120.18
1971-03-19 00:00:00,101.01,,120.18
1971-03-22 00:00:00,100.62,,120.18
1971-03-23 00:00:00,100.28,,120.17
1971-03-24 00:00:00,99.62,,120.16
1971-03-25 00:00:00,99.61,,120.17
1971-03-26 00:00:00,99.95,,120.17
1971-03-29 00:00:00,100.03,,120.18
1971-03-30 00:00:00,100.26,,120.18
1971-03-31 00:00:00,100.31,38.87,120.17
1971-04-01 00:00:00,100.39,,120.18
