Date,US 10YR Bonds
1970-12-31 00:00:00,6.502
1971-01-04 00:00:00,6.462
1971-01-05 00:00:00,6.472
1971-01-06 00:00:00,6.472
1971-01-07 00:00:00,6.452
1971-01-08 00:00:00,6.442
1971-01-11 00:00:00,6.392
1971-01-12 00:00:00,6.352
1971-01-13 00:00:00,6.292
1971-01-14 00:00:00,6.222
1971-01-15 00:00:00,6.222
1971-01-18 00:00:00,6.162
1971-01-19 00:00:00,6.172
1971-01-20 00:00:00,6.152
1971-01-21 00:00:00,6.092
1971-01-22 00:00:00,6.062
1971-01-25 00:00:00,6.052
1971-01-26 00:00:00,6.072
1971-01-27 00:00:00,6.092
1971-01-28 00:00:00,6.082
1971-01-29 00:00:00,6.092
1971-02-01 00:00:00,6.092
1971-02-02 00:00:00,6.112
1971-02-03 00:00:00,6.112
1971-02-04 00:00:00,6.102
1971-02-05 00:00:00,6.102
1971-02-08 00:00:00,6.092
1971-02-09 00:00:00,6.072
1971-02-10 00:00:00,6.082
1971-02-11 00:00:00,6.082
1971-02-16 00:00:00,6.112
1971-02-17 00:00:00,6.112
1971-02-18 00:00:00,6.112
1971-02-19 00:00:00,6.122
1971-02-22 00:00:00,6.152
1971-02-23 00:00:00,6.182
1971-02-24 00:00:00,6.162
1971-02-25 00:00:00,6.112
1971-02-26 00:00:00,6.142
1971-03-01 00:00:00,6.122
1971-03-02 00:00:00,6.092
1971-03-03 00:00:00,6.052
1971-03-04 00:00:00,6.052
1971-03-05 00:00:00,6.032
1971-03-08 00:00:00,5.992
1971-03-09 00:00:00,5.902
1971-03-10 00:00:00,5.802
1971-03-11 00:00:00,5.692
1971-03-12 00:00:00,5.722
1971-03-15 00:00:00,5.702
1971-03-16 00:00:00,5.682
1971-03-17 00:00:00,5.612
1971-03-18 00:00:00,5.552
1971-03-19 00:00:00,5.512
1971-03-22 00:00:00,5.422
1971-03-23 00:00:00,5.382
1971-03-24 00:00:00,5.412
1971-03-25 00:00:00,5.432
1971-03-26 00:00:00,5.482
1971-03-29 00:00:00,5.542
1971-03-30 00:00:00,5.502
1971-03-31 00:00:00,5.532
1971-04-01 00:00:00,5.582
1971-04-02 00:00:00,5.602
1971-04-05 00:00:00,5.632
1971-04-06 00:00:00,5.602
1971-04-07 00:00:00,5.582
1971-04-08 00:00:00,5.622
1971-04-12 00:00:00,5.732
1971-04-13 00:00:00,5.722
1971-04-14 00:00:00,5.772
1971-04-15 00:00:00,5.802
1971-04-16 00:00:00,5.822
1971-04-19 00:00:00,5.882
1971-04-20 00:00:00,5.972
1971-04-21 00:00:00,6.042
1971-04-22 00:00:00,6.022
1971-04-23 00:00:00,6.012
1971-04-26 00:00:00,6.002
1971-04-27 00:00:00,6.002
1971-04-28 00:00:00,5.992
1971-04-29 00:00:00,6.072
1971-04-30 00:00:00,6.082
1971-05-03 00:00:00,6.152
1971-05-04 00:00:00,6.252
1971-05-05 00:00:00,6.262
1971-05-06 00:00:00,6.282
1971-05-07 00:00:00,6.252
1971-05-10 00:00:00,6.222
1971-05-11 00:00:00,6.262
1971-05-12 00:00:00,6.352
1971-05-13 00:00:00,6.472
1971-05-14 00:00:00,6.492
1971-05-17 00:00:00,6.572
1971-05-18 00:00:00,6.652
1971-05-19 00:00:00,6.602
1971-05-20 00:00:00,6.492
1971-05-21 00:00:00,6.532
1971-05-24 00:00:00,6.492
1971-05-25 00:00:00,6.442
1971-05-26 00:00:00,6.372
1971-05-27 00:00:00,6.352
1971-05-28 00:00:00,6.382
1971-06-01 00:00:00,6.362
1971-06-02 00:00:00,6.242
1971-06-03 00:00:00,6.192
1971-06-04 00:00:00,6.262
1971-06-07 00:00:00,6.342
1971-06-08 00:00:00,6.382
1971-06-09 00:00:00,6.442
1971-06-10 00:00:00,6.482
1971-06-11 00:00:00,6.502
1971-06-14 00:00:00,6.632
1971-06-15 00:00:00,6.732
1971-06-16 00:00:00,6.682
1971-06-17 00:00:00,6.682
1971-06-18 00:00:00,6.582
1971-06-21 00:00:00,6.532
1971-06-22 00:00:00,6.622
1971-06-23 00:00:00,6.612
1971-06-24 00:00:00,6.612
1971-06-25 00:00:00,6.622
1971-06-28 00:00:00,6.642
1971-06-29 00:00:00,6.672
1971-06-30 00:00:00,6.702
1971-07-01 00:00:00,6.692
1971-07-02 00:00:00,6.692
1971-07-06 00:00:00,6.682
1971-07-07 00:00:00,6.662
1971-07-08 00:00:00,6.672
1971-07-09 00:00:00,6.682
1971-07-12 00:00:00,6.602
1971-07-13 00:00:00,6.612
1971-07-14 00:00:00,6.602
1971-07-15 00:00:00,6.592
1971-07-16 00:00:00,6.662
